Species Common Name,Scientific Name,Taxon Class,Overall Sample Size,Overall MLE,Male Sample Size,Male MLE,Female Sample Size,Female MLE
"Dog, African Painted",Lycaon pictus,Mammalia,375,10.3,210,10.7,164,9.9
"Dog, Bush",Speothos venaticus,Mammalia,563,8,284,8.9,279,7.3
"Dove, Bartlett's Bleeding Heart",Gallicolumba criniger,Aves,145,5,72,4.7,72,5.3
"Dove, Beautiful Fruit",Ptilinopus pulchellus,Aves,224,7.1,121,7.6,100,6.9
"Dove, Black-naped Fruit",Ptilinopus melanospilus,Aves,330,6.5,178,6.1,150,7
"Dove, Grey-capped Emerald",Chalcophaps indica,Aves,723,6.2,345,7,303,5.5
"Dove, Jambu Fruit",Ptilinopus jambu,Aves,332,5.8,167,6.3,163,5.3
"Dove, Luzon Bleeding Heart",Gallicolumba luzonica,Aves,538,5.9,246,5.8,229,6
"Dove, Mariana Fruit",Ptilinopus roseicapilla,Aves,159,8.5,83,11.9,76,6
"Dragon, Komodo",Varanus komodoensis,Reptilia,223,16.6,108,19.5,112,12.3
"Duck, Spotted Whistling",Dendrocygna guttata,Aves,101,6.2,50,6.4,50,5.5
"Duck, West Indian Whistling",Dendrocygna arborea,Aves,384,8.9,151,9.6,163,8.5
"Duck, White-winged Wood",Asarcornis scutulata,Aves,535,5.7,,,,
"Duiker, Black",Cephalopus niger,Mammalia,79,5.9,39,4.3,40,6.6
"Duiker, Blue",Philantomba monticola,Mammalia,391,4.7,191,4.7,200,4.8
"Duiker, Yellow-backed",Cephalophus silvicultor,Mammalia,275,10.1,140,9.3,134,10.7
"Eagle, Bald",Haliaeetus leucoephalus,Aves,829,16.6,297,15.2,338,17.6
"Eland, Common",Taurotragus oryx,Mammalia,1456,12.9,597,11.8,837,13.6
"Elephant, African",Loxodonta africana,Mammalia,489,36.3,108,24.1,381,38
"Elephant, Asian",Elephas maximus,Mammalia,636,42,110,32,526,43.3
"Falcon, African Pygmy",Polihierax semitorquatus,Aves,158,7,78,7.9,79,5.4
"Flamingo, Caribbean",Phoenicopterus ruber,Aves,3168,25.7,1425,26.2,1335,25.3
"Flamingo, Chilean",Phoenicopterus chilensis,Aves,3406,27.8,1299,30,1330,26.6
"Flamingo, Greater",Phoenicopterus ruber roseus,Aves,799,34.9,355,37,409,34.2
"Flamingo, Lesser",Phoeniconaias minor,Aves,1249,16.3,676,19.9,312,12.5
"Flying Fox, Island",Pteropus hypomelanus,Mammalia,146,22.6,62,18.6,84,25.4
