Species Common Name,Scientific Name,Taxon Class,Overall Sample Size,Overall MLE,Male Sample Size,Male MLE,Female Sample Size,Female MLE
"Toad, Puerto Rican Crested (Northern and Southern)",Peltophryne lemur,Amphibia,2031,5.2,916,5.2,772,5.1
"Tortoise, Egyptian",Testudo kleinmanni,Reptilia,300,12.5,101,11.3,129,13.2
"Toucan, Chestnut-mandibled",Ramphastos ambiguus swainsonii,Aves,101,10.2,51,9.8,46,10.7
"Toucan, Keel-billed",Ramphastos sulfuratus,Aves,159,6.8,74,7.3,70,6.3
"Toucan, Toco",Ramphastos toco,Aves,411,7.4,184,7.7,207,7.4
"Tree Kangaroo, Matschie's",Dendrolagus matschiei,Mammalia,193,13.2,89,12.4,104,13.3
"Tree Shrew, Northern",Tupaia belangeri,Mammalia,203,7.1,99,7.4,104,6.8
Troupial,Icterus icterus,Aves,194,6.1,90,5.7,94,7.3
"Turaco, Lady Ross'",Musophaga rossae,Aves,346,10.5,160,10.8,160,9.8
"Turaco, Red-crested",Tauraco erythrolophus,Aves,255,8.8,106,8.8,111,8.7
"Turaco, Violaceous",Musophaga violacea,Aves,371,14.1,142,15.7,195,11.8
"Turaco, White-cheeked",Tauraco leucotis,Aves,234,10,101,9.2,104,11.3
"Turtle, Coahuilan Box",Terrapene coahuila,Reptilia,330,14.6,57,14.5,137,14.9
"Turtle, Wood",Glyptemys insculpta,Reptilia,369,13.1,91,12.7,121,13.7
"Viper, Philippine Palm",Parias flavomaculatus mcgregori,Reptilia,143,12.1,49,10.1,80,13
"Vulture, King",Sarcorhamphus papa,Aves,,,,,120,28.7
"Wallaby, Bennett�s",Macropus rufogriseus,Mammalia,2209,5.3,982,5.1,1164,5.6
"Wallaby, Parma",Macropus parma,Mammalia,687,5.5,309,5,366,5.8
"Wallaby, Tammar",Macropus eugenii,Mammalia,351,5.8,156,5.9,186,5.7
"Wallaby, Yellow-footed Rock",Petrogale xanthopus xanthopus,Mammalia,162,6.3,76,6.1,86,6.3
"Wallaroo, Common",Macropus robustus,Mammalia,343,9.3,147,8,191,10.1
"Warthog, Common",Phacochoerus africanus,Mammalia,383,11.7,200,11.2,183,12.3
Wildebeest,Connochaetes taurinus,Mammalia,828,12.1,283,8.3,464,13.9
"Wolf, Maned",Chrysocyon brachyurus,Mammalia,216,12.3,107,12.6,109,12
"Wolf, Mexican Gray",Canis lupus baileyi,Mammalia,514,11,263,11,251,11.3
"Wolf, Red",Canis rufus gregoryi,Mammalia,658,10.8,311,10.8,347,10.7
"Woodhoopoe, Green",Phoeniculus purpureus,Aves,284,5.4,136,6,130,4.3
"Wood-partridge, Crested",Rollulus rouloul,Aves,1319,4.8,645,5,633,4.7
"Zebra, Grevy's",Equus grevyi,Mammalia,797,14.1,341,11.2,455,16.5
"Zebra, Hartmann's Mountain",Equus zebra hartmannae,Mammalia,585,13.9,283,12.3,301,15.4
"Zebra, Plains",Equus quagga,Mammalia,1635,15.6,638,14,991,16
